SCTG,DistanceGroup,Tonnage,Proportion,cumProporition
1,76,5422.7,5.41780430949181e-05,0.999335171758744
1,77,7895.8,7.88867155971849e-05,0.999414058474341
1,78,8843.1,8.83511632383629e-05,0.999502409637579
1,79,6252.4,6.24675524455836e-05,0.999564877190025
1,80,2888.4,2.88579231149357e-05,0.99959373511314
1,81,1912.9,1.91117300673592e-05,0.999612846843207
1,82,641.7,6.41120664134268e-06,0.999619258049849
1,83,3212.2,3.20929998025884e-05,0.999651351049651
1,84,831.2,8.30449580845261e-06,0.999659655545459
1,85,6298.5,6.2928136248242e-05,0.999722583681708
1,86,612.2,6.11647297152874e-06,0.999728700154679
1,87,173.3,1.73143542300871e-06,0.999730431590102
1,88,365.6,3.65269931132131e-06,0.999734084289414
1,89,15.2,1.51862772243118e-07,0.999734236152186
1,90,32.1,3.20710196645006e-07,0.999734556862382
1,91,11766.3,0.00011755677217396,0.999852113634556
1,92,13,1.29882634155298e-07,0.999852243517191
1,93,4.1,4.09629846182094e-08,0.999852284480175
1,94,21.2,2.11808603391717e-07,0.999852496288779
1,95,3,2.99729155742996e-08,0.999852526261694
1,96,31,3.09720127601096e-07,0.999852835981822
1,97,16,1.59855549729598e-07,0.999852995837372
1,98,12.4,1.23888051040438e-07,0.999853119725423
1,99,114.9,1.14796266649567e-06,0.999854267688089
1,100,159,1.58856452543788e-06,0.999855856252615
1,101,123.4,1.23288592728952e-06,0.999857089138542
1,102,91.9,9.18170313759378e-07,0.999858007308856
1,103,1950.5,1.94873906092238e-05,0.999877494699465
1,104,1576.5,1.57507671342944e-05,0.999893245466599
1,105,1812.8,1.81116337843634e-05,0.999911357100384
1,106,1308.9,1.30771830650669e-05,0.999924434283449
1,107,987.1,9.86208832113038e-06,0.99993429637177
1,108,1206.1,1.20501111580543e-05,0.999946346482928
1,109,2898.3,2.89568337363308e-05,0.999975303316664
1,110,1568,1.56658438735006e-05,0.999990969160537
1,111,389.9,3.89547992747314e-06,0.999994864640465
1,112,37.7,3.76659639050365e-07,0.999995241300104
1,113,27.5,2.74751726097746e-07,0.99999551605183
1,114,39.8,3.97640679952375e-07,0.99999591369251
1,115,111.1,1.10999697343489e-06,0.999997023689484
1,116,62.6,6.25434838317051e-07,0.999997649124322
1,117,1.1,1.09900690439099e-08,0.999997660114391
1,119,0.6,5.99458311485992e-09,0.999997666108974
1,120,0.8,7.99277748647989e-09,0.999997674101751
1,121,0.3,2.99729155742996e-09,0.999997677099043
1,122,0.1,9.99097185809987e-10,0.99999767809814
1,123,7.7,7.6930483307369e-08,0.999997755028624
1,124,40.1,4.00637971509805e-07,0.999998155666595
1,125,15.5,1.54860063800548e-07,0.999998310526659
1,126,144.9,1.44769182223867e-06,0.999999758218481
1,127,3.8,3.79656930607795e-08,0.999999796184174
1,129,0.1,9.99097185809987e-10,0.999999797183271
1,130,20.1,2.00818534347807e-07,0.999999998001806
1,132,0.1,9.99097185809987e-10,0.999999999000903
1,133,0.1,9.99097185809987e-10,1
2,1,48396313.8,0.0511615503761358,0.0511615503761358
2,2,590805339.9,0.624562384744763,0.675723935120898
2,3,86684618.1,0.0916375464893204,0.767361481610219
2,4,28115136.3,0.0297215603669462,0.797083041977165
2,5,15381155.6,0.0162599938979771,0.813343035875142
2,6,19997547.9,0.0211401545686531,0.834483190443795
2,7,26388938.8,0.0278967325356289,0.862379922979424
2,8,23960217.8,0.0253292408811079,0.887709163860532
2,9,5237733.4,0.00553700354758979,0.893246167408122
2,10,4303911.6,0.00454982565506539,0.897795993063187
2,11,5842890.9,0.00617673813666807,0.903972731199855
2,12,15450382.5,0.0163331762388134,0.920305907438668
2,13,3714646.9,0.00392689193828449,0.924232799376953
2,14,5400820.3,0.00570940879904177,0.929942208175995
2,15,5000634,0.00528635691885313,0.935228565094848
2,16,1844746.6,0.00195015051140331,0.937178715606251
2,17,903082.1,0.000954681807872245,0.938133397414123
2,18,1485524.9,0.00157040383944188,0.939703801253565
2,19,505249.8,0.000534118428979038,0.940237919682544
2,20,764516.5,0.000808198938245107,0.94104611862079
2,21,230015,0.000243157444973978,0.941289276065763
2,22,433052.5,0.000457795967391664,0.941747072033155
2,23,291236.1,0.000307876555703697,0.942054948588859
2,24,189996.2,0.000200852077241766,0.942255800666101
2,25,151050.8,0.000159681440728976,0.94241548210683
2,26,42585.3,4.50185107121289e-05,0.942460500617542
2,27,46042.6,4.86733516334103e-05,0.942509173969175
2,28,48813.7,5.16027849128373e-05,0.942560776754088
2,29,28127.7,2.97348419233292e-05,0.942590511596011
2,30,20200.9,2.13551256664775e-05,0.942611866721678
2,31,39395.5,4.16464540289648e-05,0.942653513175707
2,32,95104.8,0.000100538835174928,0.942754052010882
2,33,75661.3,7.99843853288248e-05,0.94283403639621
2,34,41252.8,4.36098752082365e-05,0.942877646271419
2,35,3885.4,4.10740141600284e-06,0.942881753672835
2,36,2269.6,2.39927890404078e-06,0.942884152951739
2,37,2612.9,2.76219415243574e-06,0.942886915145891
2,38,6778964.7,0.00716629670247935,0.950053211848371
2,39,910268.6,0.000962278925357215,0.951015490773728
2,40,459524.8,0.000485780824164416,0.951501271597892
2,41,295374.7,0.000312251624293873,0.951813523222186
2,42,213111.5,0.000225288123968315,0.952038811346154
2,43,388167.7,0.000410346569369065,0.952449157915524
2,44,324882.1,0.000343444998603484,0.952792602914127
2,45,198405.2,0.000209741545123366,0.95300234445925
2,46,193397.6,0.000204447824185811,0.953206792283436
2,47,35090.1,3.70950549306844e-05,0.953243887338367
2,48,237202.1,0.000250755196741352,0.953494642535108
2,49,36963.9,3.90759188760456e-05,0.953533718453984
2,50,294188.5,0.000310997647982641,0.953844716101967
2,51,3585.3,3.79015450064215e-06,0.953848506256467
2,52,7224.4,7.63718299010937e-06,0.953856143439458
2,53,8524.4,9.01146153049226e-06,0.953865154900988
2,54,1374.6,1.4531409858541e-06,0.953866608041974
2,55,87330.5,9.23203323622372e-05,0.953958928374336
2,56,41098.8,4.34470760580681e-05,0.954002375450394
2,57,51173.5,5.40974176048339e-05,0.954056472867999
2,58,1005604.2,0.00106306174782993,0.955119534615829
2,59,54708.9,5.78348209522721e-05,0.955177369436781
2,60,9938294.5,0.0105061421995041,0.965683511636285
